genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
alabama metal,0.0021412921922072193,0.418001359930061,0.09867536427895428,0.8801013369453431,7.426075268817204e-07,0.14574123194812844,0.9114374031571243,0.041881256055544276,0.4206740656620318,0.4721985545282305
alabama rap,0.13644985739470147,0.7143736132902406,0.11351758674246915,0.6041537245540556,0.0003972563233137097,0.15983141710926857,0.8249728424007919,0.21088147238760896,0.45212501176611014,0.4277708563129843
albanian pop,0.09631730514132607,0.7060294042020698,0.08474977290011614,0.7817743998795996,1.2247983870967742e-05,0.14782272325375773,0.8165517650575046,0.09957009406424615,0.5090992894914718,0.6323507418362124
alberta country,0.18481075438198744,0.596382106698005,0.10490310496753773,0.7483800302673055,2.8875858721624845e-05,0.22136629334905195,0.838196348509993,0.0285445306658425,0.4205982314713863,0.6222436632063881
alberta hip hop,0.33031907976564423,0.9428029415630056,0.07006139855523578,0.603180575413249,0.0,0.2572944297082228,0.7812147686669672,0.05672537983381364,0.36111591041906377,0.9169328035947928
album rock,0.19311790645619015,0.5061001675885667,0.14581951485154118,0.6575206712233859,0.07507477968192561,0.214787761744979,0.7391085978776405,0.03725152361767884,0.4986919472384591,0.5572274519938232
albuquerque indie,0.39970087297229095,0.5852856138827148,0.11603623563071107,0.5859373442336796,0.024682996794871775,0.20491495499784615,0.7731402867115779,0.012734622193379223,0.5194424718181101,0.6309044943521077
alt-idol,0.0002708041046560877,0.6196767023410226,0.12372265351807568,0.98545162665864,0.0001461693548387097,0.09814323607427056,0.960874514755211,0.06608915473550918,0.4190454090183834,0.4944181749658373
alternative americana,0.3199516235545913,0.49287384559386915,0.12487390224728713,0.529361999396292,0.27463519149797017,0.18265659491028943,0.7527382753673721,0.02610442119161138,0.4974895712570288,0.4486801734402411
alternative country,0.4101732427021165,0.5286336618513019,0.13475513063394573,0.5301357426104659,0.05700036413513236,0.1673943082938213,0.7331360304862001,0.023180839535058673,0.4718614498919723,0.517378405953147
alternative dance,0.14231991701812152,0.6158643175443084,0.14488642058583437,0.7318793995225169,0.20989455907810603,0.18797558703258113,0.8247378683521277,0.040757317392395485,0.5087327539073175,0.5379985882595333
alternative emo,0.09620278066536656,0.45873354049452203,0.11527258169044649,0.7542496675843314,0.029873375116877016,0.18747971099920124,0.8233967900672348,0.052425378388639546,0.5401330933243486,0.4578008845316302
alternative hip hop,0.20511633867212176,0.7101247279257312,0.1338726716887898,0.683811686683093,0.038986298092326115,0.23091368072999013,0.8027867484090038,0.25182774301263583,0.40088160371957343,0.6118654929208043
